atom,pp_file_name,nexclude,orbitals,ecutwfc,ecutrho
H,H_sr,0,s,84.0,336.0
He,He_sr,1,,98.0,392.0
Li,Li_sr,1,s,82.0,328.0
Be,Li_sr,1,s,100.0,400.0
B,B_sr,0,sp,88.0,352.0
C,C_sr,0,sp,90.0,360.0
N,N_sr,1,p,96.0,384.0
O,O_sr,1,p,96.0,384.0
F,F_sr,1,p,96.0,384.0
Ne,Ne_sr,1,p,80.0,320.0
Na,Na_sr,4,s,96.0,384.0
Mg,Mg_sr,4,s,96.0,384.0
Al,Al_sr,0,sp,52.0,208.0
Si,Si_sr,0,sp,48.0,192.0
P,P_sr,1,p,56.0,224.0
S,S_sr,1,p,64.0,256.0
Cl,Cl_sr,1,p,66.0,264.0
Ar,Ar_sr,1,p,74.0,296.0
K,K_sr,5,,86.0,344.0
Ca,Ca_sr,4,s,76.0,304.0
Sc,Sc_sr,4,sd,90.0,360.0
Ti,Ti_sr,1,spd,92.0,368.0
V,V_sr,4,sd,96.0,384.0
Cr,Cr_sr,1,spd,110.0,440.0
Mn,Mn_sr,1,spd,108.0,432.0
Fe,Fe_sr,1,spd,106.0,424.0
Co,Co_sr,1,spd,108.0,432.0
Ni,Ni_sr,1,spd,110.0,440.0
Cu,Cu_sr,1,spd,104.0,416.0
Zn,Zn_sr,1,spd,96.0,384.0
Ga,Ga_sr,5,sp,92.0,368.0
Ge,Ge_sr,5,sp,90.0,360.0
As,As_sr,6,p,96.0,384.0
Se,Se_sr,6,p,98.0,392.0
Br,Br_sr,1,p,58.0,232.0
Kr,Kr_sr,1,p,68.0,272.0
Rb,Rb_sr,4,s,58.0,232.0
Sr,Sr_sr,4,s,80.0,320.0
Y,Y_sr,1,spd,84.0,336.0
Zr,Zr_sr,1,spd,98.0,392.0
Nb,Nb_sr,4,sd,98.0,392.0
Mo,Mo_sr,1,spd,92.0,368.0
Tc,Tc_sr,1,spd,96.0,384.0
Ru,Ru_sr,1,spd,100.0,400.0
Rh,Rh_sr,1,spd,100.0,400.0
Pd,Pd_sr,3,sd,98.0,392.0
Ag,Ag_sr,4,sd,94.0,376.0
Cd,Cd_sr,6,sp,114.0,456.0
In,In_sr,5,sp,82.0,328.0
Sn,Sn_sr,5,sp,84.0,336.0
Sb,Sb_sr,5,sp,88.0,352.0
Te,Te_sr,6,p,92.0,368.0
I,I_sr,1,p,82.0,328.0
Xe,Xe_sr,1,p,84.0,336.0
Cs,Cs_sr,1,sp,58.0,232.0
Ba,Ba_sr,4,s,56.0,224.0
La,La_sr,10,,130.0,520.0
Ce,Ce_sr,,spd,,520.0
Pr,Pr_sr,,spd,,520.0
Nd,Nd_sr,,spd,,520.0
Pm,Pm_sr,,spd,,520.0
Sm,Sm_sr,,spd,,520.0
Eu,Eu_sr,,spd,,520.0
Gd,Gd_sr,,spd,,520.0
Tb,Tb_sr,,spd,,520.0
Dy,Dy_sr,,spd,,520.0
Ho,Ho_sr,,spd,,520.0
Er,Er_sr,,spd,,520.0
Tm,Tm_sr,,spd,,520.0
Yb,Yb_sr,,spd,,520.0
Lu,Lu_sr,8,spd,116.0,464.0
Hf,Hf_sr,1,spd,70.0,280.0
Ta,Ta_sr,1,spd,70.0,280.0
W,W_sr,1,spd,82.0,328.0
Re,Re_sr,1,spd,84.0,336.0
Os,Os_sr,1,spd,86.0,344.0
Ir,Ir_sr,1,spd,80.0,320.0
Pt,Pt_sr,1,spd,100.0,400.0
Au,Au_sr,1,spd,88.0,352.0
Hg,Hg_sr,1,spd,78.0,312.0
Tl,Tl_sr,5,sp,74.0,296.0
Pb,Pb_sr,5,sp,68.0,272.0
Bi,Bi_sr,6,p,74.0,296.0
Po,Po_sr,6,p,76.0,304.0
At,At_sr,,p,,304.0
Rn,Rn_sr,6,p,84.0,336.0
Fr,Fr_sr,,,,336.0
Ra,Ra_sr,,,,336.0
Ac,Ac_sr,,,,336.0
Th,Th_sr,,,,336.0
Pa,Pa_sr,,,,336.0
U,U_sr,,,,336.0
Np,Np_sr,,,,336.0
Pu,Pu_sr,,,,336.0
Am,Am_sr,,,,336.0
Cm,Cm_sr,,,,336.0
Bk,Bk_sr,,,,336.0
Cf,Cf_sr,,,,336.0
Es,Es_sr,,,,336.0
Fm,Fm_sr,,,,336.0
Md,Md_sr,,,,336.0
No,No_sr,,,,336.0
Lr,Lr_sr,,,,336.0
Rf,Rf_sr,,,,336.0
Db,Db_sr,,,,336.0
Sg,Sg_sr,,,,336.0
Bh,Bh_sr,,,,336.0
Hs,Hs_sr,,,,336.0
Mt,Mt_sr,,,,336.0
Ds,Ds_sr,,,,336.0
Rg,Rg_sr,,,,336.0
Cn,Cn_sr,,,,336.0
Nh,Nh_sr,,,,336.0
Fl,Fl_sr,,,,336.0
Mc,Mc_sr,,,,336.0
Lv,Lv_sr,,,,336.0
Ts,Ts_sr,,,,336.0
Og,Og_sr,,,,336.0
